2023-03-04 05:39:34,608 INFO    MainThread:27377 [wandb_setup.py:_flush():68] Configure stats pid to 27377
2023-03-04 05:39:34,609 INFO    MainThread:27377 [wandb_setup.py:_flush():68] Loading settings from /root/.config/wandb/settings
2023-03-04 05:39:34,609 INFO    MainThread:27377 [wandb_setup.py:_flush():68] Loading settings from /content/drive/MyDrive/gradient/wandb/settings
2023-03-04 05:39:34,609 INFO    MainThread:27377 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-03-04 05:39:34,609 INFO    MainThread:27377 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': 'main.py'}
2023-03-04 05:39:34,610 INFO    MainThread:27377 [wandb_init.py:_log_setup():492] Logging user logs to /content/drive/MyDrive/gradient/wandb/run-20230304_053934-w1gbgjgb/logs/debug.log
2023-03-04 05:39:34,610 INFO    MainThread:27377 [wandb_init.py:_log_setup():493] Logging internal logs to /content/drive/MyDrive/gradient/wandb/run-20230304_053934-w1gbgjgb/logs/debug-internal.log
2023-03-04 05:39:34,610 INFO    MainThread:27377 [wandb_init.py:init():532] calling init triggers
2023-03-04 05:39:34,610 INFO    MainThread:27377 [wandb_init.py:init():538] wandb.init called with sweep_config: {}
config: {'architecture': 'Mobilenetv2', 'dataset': 'Cifar100', 'epochs': 200, 'batch_size': 391}
2023-03-04 05:39:34,610 INFO    MainThread:27377 [wandb_init.py:init():588] starting backend
2023-03-04 05:39:34,610 INFO    MainThread:27377 [wandb_init.py:init():592] setting up manager
2023-03-04 05:39:34,614 INFO    MainThread:27377 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-03-04 05:39:34,617 INFO    MainThread:27377 [wandb_init.py:init():599] backend started and connected
2023-03-04 05:39:34,619 INFO    MainThread:27377 [wandb_init.py:init():687] updated telemetry
2023-03-04 05:39:34,657 INFO    MainThread:27377 [wandb_init.py:init():727] communicating run to backend with 60.0 second timeout
2023-03-04 05:39:35,181 INFO    MainThread:27377 [wandb_run.py:_on_init():2134] communicating current version
2023-03-04 05:39:35,216 INFO    MainThread:27377 [wandb_run.py:_on_init():2143] got version response 
2023-03-04 05:39:35,216 INFO    MainThread:27377 [wandb_init.py:init():775] starting run threads in backend
2023-03-04 05:39:35,915 INFO    MainThread:27377 [wandb_run.py:_console_start():2114] atexit reg
2023-03-04 05:39:35,915 INFO    MainThread:27377 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-03-04 05:39:35,915 INFO    MainThread:27377 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-03-04 05:39:35,916 INFO    MainThread:27377 [wandb_run.py:_redirect():2059] Redirects installed.
2023-03-04 05:39:35,916 INFO    MainThread:27377 [wandb_init.py:init():817] run started, returning control to user process
2023-03-04 08:31:32,357 WARNING MsgRouterThr:27377 [router.py:message_loop():77] message_loop has been closed
