2023-03-07 07:24:38,419 INFO    MainThread:5468 [wandb_setup.py:_flush():68] Configure stats pid to 5468
2023-03-07 07:24:38,420 INFO    MainThread:5468 [wandb_setup.py:_flush():68] Loading settings from /root/.config/wandb/settings
2023-03-07 07:24:38,420 INFO    MainThread:5468 [wandb_setup.py:_flush():68] Loading settings from /content/drive/MyDrive/gradient/wandb/settings
2023-03-07 07:24:38,420 INFO    MainThread:5468 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-03-07 07:24:38,420 INFO    MainThread:5468 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': 'main.py'}
2023-03-07 07:24:38,420 INFO    MainThread:5468 [wandb_init.py:_log_setup():492] Logging user logs to /content/drive/MyDrive/gradient/wandb/run-20230307_072438-vdvo1s2e/logs/debug.log
2023-03-07 07:24:38,421 INFO    MainThread:5468 [wandb_init.py:_log_setup():493] Logging internal logs to /content/drive/MyDrive/gradient/wandb/run-20230307_072438-vdvo1s2e/logs/debug-internal.log
2023-03-07 07:24:38,421 INFO    MainThread:5468 [wandb_init.py:init():532] calling init triggers
2023-03-07 07:24:38,421 INFO    MainThread:5468 [wandb_init.py:init():538] wandb.init called with sweep_config: {}
config: {'architecture': 'Mobilenetv2', 'dataset': 'Cifar100', 'epochs': 200, 'batches': 391}
2023-03-07 07:24:38,421 INFO    MainThread:5468 [wandb_init.py:init():588] starting backend
2023-03-07 07:24:38,421 INFO    MainThread:5468 [wandb_init.py:init():592] setting up manager
2023-03-07 07:24:38,429 INFO    MainThread:5468 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-03-07 07:24:38,436 INFO    MainThread:5468 [wandb_init.py:init():599] backend started and connected
2023-03-07 07:24:38,442 INFO    MainThread:5468 [wandb_init.py:init():687] updated telemetry
2023-03-07 07:24:44,951 INFO    MainThread:5468 [wandb_init.py:init():727] communicating run to backend with 60.0 second timeout
2023-03-07 07:24:45,490 INFO    MainThread:5468 [wandb_run.py:_on_init():2134] communicating current version
2023-03-07 07:24:45,522 INFO    MainThread:5468 [wandb_run.py:_on_init():2143] got version response 
2023-03-07 07:24:45,522 INFO    MainThread:5468 [wandb_init.py:init():775] starting run threads in backend
2023-03-07 07:24:46,259 INFO    MainThread:5468 [wandb_run.py:_console_start():2114] atexit reg
2023-03-07 07:24:46,259 INFO    MainThread:5468 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-03-07 07:24:46,260 INFO    MainThread:5468 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-03-07 07:24:46,260 INFO    MainThread:5468 [wandb_run.py:_redirect():2059] Redirects installed.
2023-03-07 07:24:46,260 INFO    MainThread:5468 [wandb_init.py:init():817] run started, returning control to user process
2023-03-07 09:05:00,049 WARNING MsgRouterThr:5468 [router.py:message_loop():77] message_loop has been closed
